"motif_name","motif_ID","n_targets"
"FOSB::JUNB(var.2)","MA1136.1",1340
"FOSL1::JUNB","MA1137.1",2218
"FOSL2::JUNB","MA1138.1",2059
"FOSL2::JUNB(var.2)","MA1139.1",1356
"FOS::JUND","MA1141.1",2428
"FOSL1::JUND","MA1142.1",2283
"FOSL1::JUND(var.2)","MA1143.1",1417
"FOSL2::JUND","MA1144.1",2017
"FOSL2::JUND(var.2)","MA1145.1",1833
"NR1H4::RXRA","MA1146.1",1680
"NR4A2::RXRA","MA1147.1",1663
"PPARA::RXRA","MA1148.1",3686
"RARA::RXRG","MA1149.1",3412
"RORB","MA1150.1",2260
"RORC","MA1151.1",2329
"SOX15","MA1152.1",5934
"TFE3","MA0831.2",2161
"VDR","MA0693.2",4150
"Smad4","MA1153.1",2343
"IRF3","MA1418.1",5992
"IRF4","MA1419.1",2504
"IRF5","MA1420.1",2112
"TCF7L1","MA1421.1",4078
"ARGFX","MA1463.1",2457
"ARNT2","MA1464.1",1722
"ATF6","MA1466.1",1224
"ATOH1(var.2)","MA1467.1",3249
"ATOH7","MA1468.1",1646
"BACH2","MA1101.2",1829
"BACH2(var.2)","MA1470.1",1338
"BARX2","MA1471.1",4740
"BHLHA15(var.2)","MA1472.1",2855
"CDX4","MA1473.1",3361
"CREB3L4","MA1474.1",1686
"CREB3L4(var.2)","MA1475.1",1334
"DLX5","MA1476.1",1474
"DMRTA2","MA1478.1",2568
"DMRTC2","MA1479.1",2808
"DPRX","MA1480.1",1590
"DRGX","MA1481.1",1504
"ELF2","MA1483.1",2959
"ETS2","MA1484.1",2577
"FERD3L","MA1485.1",2992
"FOXE1","MA1487.1",5111
"FOXN3","MA1489.1",1047
"GLI3","MA1491.1",4048
"HES6","MA1493.1",1772
"HNF4A(var.2)","MA1494.1",2831
"HOXA1","MA1495.1",700
"HOXA4","MA1496.1",1628
"HOXA6","MA1497.1",1580
"HOXA7","MA1498.1",1120
"HOXB4","MA1499.1",1864
"HOXB6","MA1500.1",1976
"HOXB7","MA1501.1",1560
"HOXB8","MA1502.1",1120
"HOXB9","MA1503.1",1454
"HOXC4","MA1504.1",1628
"HOXC8","MA1505.1",1521
"HOXD10","MA1506.1",1505
"HOXD4","MA1507.1",1864
"IKZF1","MA1508.1",7176
"IRF6","MA1509.1",794
"KLF10","MA1511.1",7138
"KLF11","MA1512.1",8295
"KLF15","MA1513.1",9035
"KLF17","MA1514.1",6451
"KLF2","MA1515.1",10265
"KLF3","MA1516.1",7272
"KLF6","MA1517.1",7453
"LHX1","MA1518.1",1333
"LHX5","MA1519.1",1891
"MAF","MA1520.1",1569
"MAFA","MA1521.1",1736
"MAZ","MA1522.1",8446
"MSANTD3","MA1523.1",2954
"MSGN1","MA1524.1",1600
"NFATC4","MA1525.1",4112
"NFIC(var.2)","MA1527.1",3065
"NFIX(var.2)","MA1528.1",2830
"NHLH2","MA1529.1",3613
"NKX6-3","MA1530.1",2422
"NR1D1","MA1531.1",4846
"NR1D2","MA1532.1",2864
"NR1I2","MA1533.1",2270
"NR1I3","MA1534.1",2522
"NR2C1","MA1535.1",2419
"NR2C2(var.2)","MA1536.1",3163
"NR2F1(var.2)","MA1537.1",3769
"NR2F1(var.3)","MA1538.1",1823
"NR2F6(var.3)","MA1539.1",1759
"NR5A1","MA1540.1",3885
"NR6A1","MA1541.1",3384
"OSR1","MA1542.1",1719
"OVOL1","MA1544.1",518
"OVOL2","MA1545.1",499
"PAX3(var.2)","MA1546.1",952
"PITX2","MA1547.1",2809
"PLAGL2","MA1548.1",3640
"POU6F1(var.2)","MA1549.1",2377
"PPARD","MA1550.1",3646
"RARB(var.3)","MA1552.1",1709
"RARG(var.3)","MA1553.1",1583
"RFX7","MA1554.1",1246
"RXRB(var.2)","MA1555.1",1935
"RXRG(var.2)","MA1556.1",3020
"SMAD5","MA1557.1",706
"SNAI1","MA1558.1",6429
"SNAI3","MA1559.1",6494
"SOHLH2","MA1560.1",1266
"SOX12","MA1561.1",1186
"SOX14","MA1562.1",1761
"SOX18","MA1563.1",1931
"SP9","MA1564.1",9271
"TBX18","MA1565.1",6126
"TBX3","MA1566.1",4465
"TBX6","MA1567.1",4147
"TCF21(var.2)","MA1568.1",952
"TFAP2E","MA1569.1",3616
"TFAP4(var.2)","MA1570.1",1277
"TGIF2LX","MA1571.1",1504
"TGIF2LY","MA1572.1",1391
"THAP11","MA1573.1",5327
"THRB","MA1574.1",3739
"THRB(var.2)","MA1575.1",1912
"THRB(var.3)","MA1576.1",3750
"TLX2","MA1577.1",1571
"VEZF1","MA1578.1",3117
"ZBTB26","MA1579.1",5148
"ZBTB32","MA1580.1",2745
"ZBTB6","MA1581.1",6368
"ZFP57","MA1583.1",1363
"ZIC5","MA1584.1",4231
"ZKSCAN1","MA1585.1",2020
"ZNF135","MA1587.1",10641
"ZNF136","MA1588.1",3529
"ZNF140","MA1589.1",4698
"ZNF274","MA1592.1",2755
"ZNF317","MA1593.1",3578
"ZNF382","MA1594.1",2656
"ZNF460","MA1596.1",12469
"ZNF528","MA1597.1",4291
"ZNF682","MA1599.1",5373
"ZNF684","MA1600.1",3998
"ZNF75D","MA1601.1",5186
"ZSCAN29","MA1602.1",1152
"Dmrt1","MA1603.1",3258
"Ebf2","MA1604.1",4467
"Foxf1","MA1606.1",4484
"Foxl2","MA1607.1",5222
"Isl1","MA1608.1",1498
"Plagl1","MA1615.1",6127
"Prdm15","MA1616.1",4812
"Ptf1a","MA1618.1",3240
"Ptf1a(var.2)","MA1619.1",2572
"Ptf1a(var.3)","MA1620.1",5721
"Rbpjl","MA1621.1",5810
"Smad2::Smad3","MA1622.1",2754
"Stat2","MA1623.1",10116
"Stat5a","MA1624.1",4300
"Stat5b","MA1625.1",4451
"Wt1","MA1627.1",9049
"Zic1::Zic2","MA1628.1",5600
"Zic2","MA1629.1",5294
"Znf281","MA1630.1",6741
"ASCL1","MA1100.2",3649
"ATF3","MA0605.2",1526
"BARHL1","MA0877.2",553
"BATF::JUN","MA0462.2",2800
"BCL6","MA0463.2",2592
"CDX1","MA0878.2",3084
"E2F2","MA0864.2",1402
"E2F3","MA0469.3",434
"E2F4","MA0470.2",907
"EMX1","MA0612.2",684
"FOXD2","MA0847.2",6047
"GATA5","MA0766.2",2136
"GFI1","MA0038.2",3970
"GLI2","MA0734.2",4077
"GSX2","MA0893.2",1125
"HES1","MA1099.2",3160
"HES2","MA0616.2",2081
"HOXA13","MA0650.2",3400
"HOXA2","MA0900.2",905
"HOXA5","MA0158.2",1061
"HOXA9","MA0594.2",439
"HOXB2","MA0902.2",1075
"HOXB5","MA0904.2",905
"HOXC9","MA0485.2",1410
"HOXD13","MA0909.2",2721
"HOXD3","MA0912.2",1125
"HOXD8","MA0910.2",1120
"HOXD9","MA0913.2",3698
"JUNB(var.2)","MA1140.2",1338
"LHX9","MA0701.2",1728
"LMX1A","MA0702.2",2392
"LMX1B","MA0703.2",3187
"NEUROG1","MA0623.2",996
"NRL","MA0842.2",2263
"PITX1","MA0682.2",2046
"PRRX2","MA0075.3",1527
"SOX4","MA0867.2",4271
"SOX8","MA0868.2",2757
"SP1","MA0079.4",8578
"SP2","MA0516.2",8322
"SP3","MA0746.2",9100
"TCFL5","MA0632.2",3507
"TFEC","MA0871.2",1918
"ZNF740","MA0753.2",6787
"Nkx3-2","MA0122.3",3134
"ASCL1(var.2)","MA1631.1",6215
"ATF2","MA1632.1",3326
"BACH1","MA1633.1",2988
"BATF","MA1634.1",2798
"BHLHE22(var.2)","MA1635.1",3848
"CEBPG(var.2)","MA1636.1",3874
"EBF3","MA1637.1",4582
"HAND2","MA1638.1",3067
"MEIS1(var.2)","MA1639.1",2873
"MEIS2(var.2)","MA1640.1",3684
"MYF5","MA1641.1",2459
"NEUROG2(var.2)","MA1642.1",3521
"NFIB","MA1643.1",4499
"NFYC","MA1644.1",3166
"NKX2-2","MA1645.1",3509
"OSR2","MA1646.1",4583
"PRDM4","MA1647.1",4937
"TCF12(var.2)","MA1648.1",5581
"ZBTB12","MA1649.1",3954
"ZBTB14","MA1650.1",5228
"ZFP42","MA1651.1",4076
"ZKSCAN5","MA1652.1",7761
"ZNF148","MA1653.1",10581
"ZNF16","MA1654.1",5006
"ZNF341","MA1655.1",3322
"ZNF449","MA1656.1",4781
"ZNF652","MA1657.1",3411
"FOXA3","MA1683.1",3628
"ATF4","MA0833.2",3298
"BATF3","MA0835.2",2854
"CDX2","MA0465.2",4821
"CEBPA","MA0102.4",3679
"CEBPD","MA0836.2",2551
"CREB1","MA0018.4",3029
"CTCFL","MA1102.2",6843
"E2F6","MA0471.2",8500
"EBF1","MA0154.4",4816
"EGR1","MA0162.4",7770
"EHF","MA0598.3",6117
"ELF1","MA0473.3",6320
"ELF3","MA0640.2",6499
"ESRRA","MA0592.3",3922
"ETV1","MA0761.2",5982
"ETV4","MA0764.2",6701
"ETV5","MA0765.2",3372
"FOSL1","MA0477.2",2415
"FOXA1","MA0148.4",4259
"FOXA2","MA0047.3",4152
"FOXK2","MA1103.2",3232
"FOXP1","MA0481.3",4104
"GABPA","MA0062.3",6173
"GATA1","MA0035.4",2433
"GATA4","MA0482.2",3201
"GATA6","MA1104.2",3589
"GRHL2","MA1105.2",3410
"HLF","MA0043.3",2338
"HNF4A","MA0114.4",3757
"HNF4G","MA0484.2",3654
"HOXB13","MA0901.2",7606
"JUNB","MA0490.2",2125
"JUND","MA0491.2",2098
"KLF4","MA0039.4",10725
"KLF9","MA1107.2",9458
"LHX2","MA0700.2",2490
"MAFF","MA0495.3",3963
"MAFG","MA0659.2",3842
"MAFK","MA0496.3",7679
"MEF2A","MA0052.4",10352
"MITF","MA0620.3",1423
"MXI1","MA1108.2",3103
"MYOD1","MA0499.2",5156
"MYOG","MA0500.2",2944
"MZF1","MA0056.2",3546
"NFE2L1","MA0089.2",2801
"NFIL3","MA0025.2",2980
"NFYB","MA0502.2",3510
"NKX2-5","MA0063.2",2529
"NR4A1","MA1112.2",4374
"ONECUT1","MA0679.2",5662
"OTX2","MA0712.2",3568
"PBX2","MA1113.2",3851
"PHOX2B","MA0681.2",7346
"PKNOX1","MA0782.2",4877
"POU2F3","MA0627.2",5067
"PRDM1","MA0508.3",6465
"RFX1","MA0509.2",2952
"RFX3","MA0798.2",2875
"RUNX3","MA0684.2",3632
"SCRT1","MA0743.2",2918
"SCRT2","MA0744.2",3021
"SNAI2","MA0745.2",6211
"SOX2","MA0143.4",2710
"SPI1","MA0080.5",9557
"SPIB","MA0081.2",7953
"SREBF1(var.2)","MA0829.2",4482
"TCF3","MA0522.3",5475
"TCF4","MA0830.2",5903
"TCF7","MA0769.2",3275
"TEAD1","MA0090.3",3948
"TEAD4","MA0809.2",3887
"TFAP2A","MA0003.4",5532
"TFAP2C(var.2)","MA0814.2",6807
"TWIST1","MA1123.2",3340
"USF1","MA0093.3",2429
"USF2","MA0526.3",2408
"YY2","MA0748.2",2778
"ZNF263","MA0528.2",8972
"CREM","MA0609.2",1534
