"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.09150377662757,0.86,0.221,0,"0","DENR"
0,0.993728643324169,0.902,0.263,0,"0","GSPT1"
0,2.08059995100354,0.727,0.088,0,"0","MRPL15"
0,1.06960107448027,0.88,0.241,0,"0","NDUFA6"
0,1.49159853496384,0.731,0.092,0,"0","NOB1"
0,1.18171226925844,0.806,0.167,0,"0","SUGT1"
0,2.04269320316441,0.713,0.074,0,"0","TRIAP1"
0,1.61429888159458,0.819,0.18,0,"0","VASP"
0,1.33478624054943,0.895,0.256,0,"0","YWHAG"
0,1.01637056151431,0.928,0.29,0,"0","KARS"
0,1.32843637959249,0.786,0.148,0,"0","GLUD1"
0,2.08685657070102,0.715,0.077,0,"0","PPIAP22"
0,0.904422992008985,0.891,0.253,0,"0","UBE2I"
0,1.79697010444007,0.753,0.115,0,"0","ZYX"
0,2.34160636996168,0.701,0.063,0,"0","HPRT1"
0,1.57531846416092,0.938,0.3,0,"0","SNRPC"
0,1.20740402863053,0.831,0.193,0,"0","TAF9"
0,1.09895211645629,0.887,0.25,0,"0","ACP1"
0,1.06220198272162,0.807,0.17,0,"0","DYNC1I2"
0,1.30524482399957,0.774,0.137,0,"0","EXOSC8"
0,1.87846481784851,0.975,0.338,0,"0","GPI"
0,1.31030406353942,0.888,0.251,0,"0","LBR"
0,1.51057123289518,0.943,0.306,0,"0","PHB2"
0,1.35517711875572,0.893,0.256,0,"0","RAB7L1"
0,1.16971270832893,0.806,0.169,0,"0","SNRPA"
0,2.42761946137802,0.988,0.351,0,"0","TUBB"
0,1.14331588889344,0.929,0.293,0,"0","M6PR"
0,1.44283676411232,0.763,0.127,0,"0","ADSL"
0,1.05670179097184,0.84,0.204,0,"0","COX16"
0,1.39452515784664,0.764,0.129,0,"0","AHSA1"
0,1.27019820996746,0.768,0.133,0,"0","EIF4E"
0,1.12351605393376,0.793,0.158,0,"0","FAM49B"
0,1.26332207205768,0.782,0.147,0,"0","FH"
0,2.24469443823358,0.704,0.069,0,"0","MRPL11"
0,1.04694796792577,0.837,0.202,0,"0","NEDD8"
0,1.00089203610189,0.899,0.264,0,"0","PSMD11"
0,1.47980176265533,0.925,0.291,0,"0","H2AFY"
0,1.21050943962263,0.937,0.303,0,"0","NASP"
0,1.38056410587619,0.76,0.126,0,"0","AC008155.1"
0,1.40478969611669,0.764,0.13,0,"0","EFTUD2"
0,2.03359927936091,0.752,0.118,0,"0","HMMR"
0,1.11806468344443,0.805,0.171,0,"0","MRPL21"
0,1.39947555089531,0.756,0.122,0,"0","POLE4"
0,1.46741425484174,0.757,0.123,0,"0","RGS10"
0,1.10760945848129,0.776,0.142,0,"0","TBCB"
0,1.17884162261299,0.835,0.201,0,"0","PSMD14"
0,1.4809687891239,0.734,0.101,0,"0","ADK"
0,1.38858422671214,0.763,0.13,0,"0","DNAJB6"
0,0.59984897248186,0.867,0.234,0,"0","LAMTOR5"
0,1.25941530021503,0.934,0.301,0,"0","MBD2"
0,1.02853507292823,0.844,0.211,0,"0","PRDX6"
0,1.12639950073219,0.857,0.224,0,"0","SNHG3"
0,1.55802977676566,0.733,0.1,0,"0","TNFRSF1B"
0,1.30923636196174,0.929,0.297,0,"0","MRPL51"
0,1.14779011251221,0.788,0.156,0,"0","FIBP"
0,1.04863131069045,0.799,0.167,0,"0","PPP1CA"
0,1.34072843617042,0.944,0.312,0,"0","ANP32E"
0,1.02012163873852,0.828,0.196,0,"0","RFTN1"
0,1.23326372190761,0.835,0.204,0,"0","FDFT1"
0,0.980963208116728,0.884,0.253,0,"0","HSPA4"
0,1.19085322696815,0.773,0.142,0,"0","MRPL9"
0,0.94654343563758,0.85,0.219,0,"0","NIPA2"
0,1.52362135715071,0.955,0.324,0,"0","NOP56"
0,1.38311964534133,0.777,0.146,0,"0","NUDC"
0,1.2750301475044,0.801,0.17,0,"0","PDHB"
0,0.950171586442779,0.817,0.186,0,"0","PITPNB"
0,0.92694145223533,0.843,0.212,0,"0","PSMC1"
0,2.46917313336154,0.7,0.069,0,"0","RUVBL1"
0,0.900919033596809,0.8,0.169,0,"0","STK24"
0,1.26083668150305,0.795,0.164,0,"0","TMA16"
0,2.04842915704255,0.699,0.068,0,"0","TUBA1A"
