"tf","gene","Gain","Cover","Frequency","Cor"
"TFDP1","MNT",0.0215549797365512,0.03,0.03,-0.0260267936218023
"TFDP1","HOXB3",0.0229018158427419,0.0356242218449349,0.0356242218449349,-0.0539573217937426
"TFDP1","NR1D2",0.0247661080811461,0.034,0.034,-0.374275869461615
"TFDP1","DBP",0.0264011043547853,0.016,0.016,-0.152849360332698
"TFDP1","CUX1",0.0276648960144854,0.024,0.024,-0.262476619812127
"TFDP1","IRF3",0.160362589739671,0.074,0.074,-0.366605625785057
"TFE3","TFCP2",0.0928661181580058,0.082,0.082,0.208197515422132
"TFE3","POU6F1",0.0760604553813606,0.052,0.052,0.0936436660602553
"TFE3","C10orf10",0.0579965459145028,0.082,0.082,0.0692647748733183
"TFE3","HHLA2",0.0266266108727025,0.0448790450263204,0.0448790450263204,0.0977017711130533
"TFE3","MGA",0.0184261479788328,0.036,0.036,0.158139738212362
"TFE3","MAFG",0.0145081161609607,0.034,0.034,0.164133151845042
"TFE3","CEBPB",0.0134377545092214,0.036,0.036,0.150643087586677
"TFE3","NFATC3",0.0129575240114158,0.022,0.022,0.0763906168714913
"TFE3","PIK3R6",0.0126121712476396,0.026,0.026,0.0926471037500152
"TFE3","BCL6",0.0125441741054688,0.026,0.026,0.179063756081461
"TFE3","MAF",0.0112247284612571,0.022,0.022,-0.0120988326694869
"TFE3","RREB1",0.0130364381673726,0.022,0.022,-0.0435604395599052
"TFEB","SELL",0.11688018243129,0.03,0.03,0.210423857534774
"TFEB","H2AFZ",0.0940373164456887,0.02,0.02,0.221990237226289
"TFEB","HSF1",0.0495582239262715,0.042,0.042,0.17553693611673
"TFEB","NGFRAP1",0.0469327011735141,0.03,0.03,0.154275580782301
"TFEB","MAFG",0.0363000953335027,0.052,0.052,0.237171590896708
"TFEB","POLR3K",0.0344124615263268,0.026,0.026,0.268926258580479
"TFEB","ZNF382",0.0343696622394915,0.0261224489795918,0.0261224489795918,0.133906775864326
"TFEB","MTDH",0.0310927296494661,0.018,0.018,0.0933855769973182
"TFEB","FDXR",0.0308335097924385,0.022,0.022,0.240334089965
"TFEB","STMN1",0.030106665894535,0.028,0.028,0.193207220053998
"TFEB","SLC16A1",0.0291696525841058,0.026,0.026,0.159942178873746
"TFEB","CENPF",0.0286459057414176,0.02,0.02,0.131043115156075
"TFEB","RBPJ",0.0280921963703181,0.04,0.04,0.147022904942863
"TFEB","KPNA2",0.0275911320343683,0.014,0.014,0.148080579166893
"TFEB","PFN1",0.0246793097171901,0.036,0.036,0.299638460418249
"TFEB","HMGN2",0.0228597706836448,0.03,0.03,0.230836400183821
"TFEB","PTP4A3",0.0226219605898048,0.09,0.09,0.165084362376948
"TFEB","NCF2",0.0203296177448405,0.032,0.032,0.308866107633853
"TFEB","SOX5",0.0189231839130206,0.028,0.028,0.178982404549981
"TFEB","DEPDC1",0.0185872976615845,0.024,0.024,0.0959926206150274
"TFEB","AC099552.4",0.0181867660105342,0.0334877752892871,0.0334877752892871,0.248222750287684
"TFEB","BAX",0.017564817619011,0.026,0.026,0.298658626652484
"TFEB","ARID3A",0.0171827866228842,0.022,0.022,0.212665586286972
"TFEB","SLC16A9",0.0168477173460318,0.0375679221982093,0.0375679221982093,0.129158890492839
"TFEB","FAM107B",0.0155086271318791,0.02,0.02,0.238027326218811
"TFEB","HOXB7",0.0152794702905936,0.022,0.022,0.0730500922295965
"TFEB","FAM129A",0.0134709068064863,0.042,0.042,0.21134194289627
"TFEB","HOXA5",0.0113912710974189,0.0177424193602151,0.0177424193602151,0.00663013459468078
"TFEB","KLF15",0.0180220849397244,0.0113648104446245,0.0113648104446245,-0.0110263138904761
"TFEB","IRF9",0.0617060563191931,0.05,0.05,-0.100155517253453
"TFEC","FAM167A",0.385886602411729,0.142,0.142,0.468770099279267
"TFEC","ADAP1",0.321071759990608,0.136,0.136,0.370545776879673
"TFEC","PAX5",0.118104219901926,0.1,0.1,0.456821021905209
"TFEC","AHR",0.0880139054249772,0.048,0.048,0.328979994813694
"TFEC","RAB11FIP1",0.045147787963106,0.066,0.066,0.525518142389375
"TFEC","ZNF317",0.0406398047722069,0.046,0.046,0.375618530030011
"TFEC","HLA-DMB",0.0354644041997487,0.044,0.044,0.652163564254422
"TFEC","HES1",0.0346322970452038,0.096,0.096,0.473274328374547
"TFEC","MFHAS1",0.0242675509655307,0.052,0.052,0.236190389135306
"TFEC","KLF16",0.0191527889131441,0.046,0.046,0.0607710774459796
"TFEC","DDIT3",0.0191192105203385,0.028,0.028,0.290904946426592
"TFEC","SERPINB1",0.0182150566399943,0.016,0.016,0.186468954780507
"TFEC","NFATC1",0.0175023614192022,0.026,0.026,0.307920857480879
"TFEC","RREB1",0.0142791509881834,0.028,0.028,0.190856787994378
"TFEC","BTNL9",0.0125406037777343,0.03,0.03,0.190038032552922
"TFEC","CD83",0.0114799323294205,0.034,0.034,0.60392592935303
"TFEC","STAT5A",0.0105235955983149,0.016,0.016,0.347756316132441
"TFEC","STEAP3",0.0101836538923152,0.0155555555555556,0.0155555555555556,-0.0647857088163401
"TFEC","BHLHE41",0.0408418396520997,0.014,0.014,-0.339729388214207
"TGIF1","ZNF136",0.154639766025735,0.112,0.112,0.445427806022617
"TGIF1","ZNF274",0.118340989086171,0.068,0.068,0.237165767049647
"TGIF1","ZEB1",0.097954980733359,0.062,0.062,0.464335624565931
"TGIF1","C1orf162",0.0949561809268495,0.11,0.11,0.475959257686071
"TGIF1","MPEG1",0.0688883740890132,0.094,0.094,0.496949556442807
"TGIF1","CD40",0.0466190592595618,0.06,0.06,0.180589179446056
"TGIF1","CORO2A",0.0375099697857199,0.026,0.026,0.0927460379897274
"TGIF1","FOXN3",0.0364231567419637,0.018,0.018,0.237754452544589
"TGIF1","VEZF1",0.0352721842950725,0.038,0.038,0.211485259653664
"TGIF1","NFKBID",0.0349079811974383,0.072,0.072,0.669088928691121
"TGIF1","ZFX",0.0330777718941172,0.026,0.026,0.163390690147794
"TGIF1","SPIB",0.0217542547937392,0.056,0.056,0.321721178695452
"TGIF1","BBC3",0.0189665134899968,0.034,0.034,0.313275735091496
"TGIF1","SPOCK2",0.0186999289162408,0.062,0.062,0.646818854389044
"TGIF1","PLEKHA1",0.0146602459105559,0.03,0.03,0.389346125571632
"TGIF1","SYT11",0.0125362211421347,0.054,0.054,0.00963794613670544
"TGIF1","CXCR5",0.0119736794682078,0.064,0.064,0.559425202232688
"TGIF1","FOXO4",0.0119524550513357,0.018,0.018,0.0703539434516696
"TGIF1","USF1",0.011716855756679,0.018,0.018,0.108882575034976
"TGIF1","MT1E",0.0128046126593063,0.028,0.028,-0.279701680652565
"TGIF1","FOSL1",0.0140741603563378,0.0385833333333333,0.0385833333333333,-0.0655397895164744
"TGIF1","NCL",0.0143145194127183,0.052,0.052,-0.180424823907263
