"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cluster"
2.2692006461664e-07,0.649665443534707,0.057,0.114,0.00522211144702273,"TOPORS-AS1","2"
5.49193083580296e-07,0.762519953704174,0.073,0.134,0.0126385804324334,"LINC00667","2"
8.2560610896764e-07,0.979177148032327,0.161,0.26,0.0189996733856723,"TAPSAR1","2"
1.21486293846822e-06,0.636342304874246,0.052,0.102,0.0279576408029692,"CTBP1-AS2","2"
2.39931629971444e-06,0.791300576727035,0.225,0.345,0.0552154660053284,"TUG1","2"
5.78135034677098e-06,0.726468220411494,0.239,0.364,0.133046215530241,"LINC00657","2"
4.61967150756533e-05,0.588899252671417,0.602,0.681,1,"NEAT1","2"
0.00112750272371581,0.873294734348731,0.121,0.175,1,"RP11-139H15.1","2"
0.0027647074263132,2.10712475657492,0.101,0.08,1,"CTD-2521M24.9","2"
0.0231283001261695,0.771033284830483,0.111,0.146,1,"AC159540.1","2"
0.0771644509879189,1.14918706215212,0.292,0.315,1,"MIAT","2"
0.158000256827958,1.22373416354364,0.16,0.156,1,"AC006129.2","2"
0.172279280920038,1.53533990423522,0.14,0.175,1,"AC009948.5","2"
0.699869362682203,1.35910852783405,0.203,0.242,1,"GS1-251I9.4","2"
0.744479133356739,0.582562768845106,0.472,0.586,1,"RP11-94L15.2","2"
5.98163775009794e-191,5.21202847628432,0.269,0.033,1.37655429543004e-186,"CTA-250D10.23","3"
1.04938457060301e-40,4.22916627259965,0.137,0.04,2.4149487123287e-36,"AC079767.4","3"
8.65768652910918e-32,1.47214385193839,0.571,0.516,1.9923934009439e-27,"ZFAS1","3"
3.24593673338697e-31,0.417832650457687,0.041,0.203,7.46987420454344e-27,"SNHG15","3"
6.49991218110535e-28,0.391471644709814,0.137,0.355,1.49582479023777e-23,"TUG1","3"
2.04640905580984e-25,0.301271361522335,0.031,0.161,4.70940116013517e-21,"RP11-304L19.5","3"
2.79936838072079e-24,0.943768368960284,0.105,0.285,6.44218645455276e-20,"FGD5-AS1","3"
1.30972119411378e-21,1.02050788395267,0.107,0.276,3.01406138401404e-17,"SNHG7","3"
1.80042308980147e-21,0.315087296982704,0.023,0.13,4.14331365656011e-17,"LINC00665","3"
7.15384065307957e-20,0.493858620666182,0.034,0.143,1.6463133494932e-15,"HCG18","3"
1.53655423274997e-17,1.07067409150318,0.089,0.226,3.53607225582751e-13,"NCBP2-AS2","3"
4.5574792710009e-17,0.406920727753118,0.047,0.153,1.04881270463544e-12,"ILF3-AS1","3"
1.8620081348368e-16,0.313378049960227,0.037,0.133,4.28503932069992e-12,"THAP9-AS1","3"
8.88549795997957e-16,0.676210061145426,0.088,0.213,2.0448196455301e-11,"MIR142","3"
9.07052474975797e-14,1.2676052793269,0.058,0.156,2.0873998606618e-09,"MIR155HG","3"
2.26286859356876e-13,1.46219926558269,0.063,0.161,5.20753949437979e-09,"CASC7","3"
2.06693815546562e-12,0.412781507648195,0.031,0.104,4.75664477717304e-08,"LINC00936","3"
4.03450907925783e-11,1.11615951293637,0.117,0.234,9.28461574409604e-07,"SNHG9","3"
6.39450941754642e-11,0.939477383818702,0.037,0.107,1.47156845225996e-06,"RP11-215G15.5","3"
4.72113142948624e-10,2.55039411720906,0.19,0.136,1.08647397586767e-05,"LINC00926","3"
7.4285207952996e-10,1.15699981113285,0.226,0.402,1.7095254906223e-05,"RP11-220I1.1","3"
6.99060633795395e-09,1.07477986716795,0.118,0.219,0.000160874823655334,"RP11-349A22.5","3"
1.65383936970224e-05,1.30514474494296,0.053,0.101,0.380598054149577,"MKLN1-AS1","3"
