"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage"
5.12303166207928e-47,-0.520779303412671,0.139,0.044,1.17896327639431e-42,"RNU12","prePB"
1.16145259629115e-46,-0.874647799675997,0.213,0.085,2.67285085984482e-42,"LINC00969","prePB"
6.08726182695117e-46,-0.991817728523883,0.171,0.062,1.40086156423627e-41,"TRIM52-AS1","prePB"
7.54646796720288e-45,-0.36425239228525,0.111,0.03,1.7366686732924e-40,"ASB16-AS1","prePB"
5.18641004692872e-43,-0.274547179902997,0.104,0.028,1.19354854409971e-38,"RP5-886K2.3","prePB"
3.41218709729302e-41,-0.802691542871544,0.116,0.035,7.85246616700043e-37,"RP11-611L7.1","prePB"
2.29892132096352e-40,-0.333389030080313,0.117,0.036,5.29050763593335e-36,"LINC00847","prePB"
3.90600151539828e-40,-0.478957215048955,0.102,0.029,8.98888128738605e-36,"RP11-262H14.1","prePB"
7.09304248051887e-39,-1.42258547286586,0.222,0.097,1.63232186604181e-34,"LINC00926","prePB"
9.24405538130378e-39,-0.552456315610921,0.126,0.043,2.12733446489944e-34,"PSMD5-AS1","prePB"
3.29601233386889e-37,-0.93566626617567,0.104,0.031,7.58511318393247e-33,"RP11-611E13.2","prePB"
5.4874259599372e-32,-1.05679745228612,0.121,0.045,1.26282133616035e-27,"AC084018.1","prePB"
2.65126428834333e-28,-1.16073217931048,0.148,0.065,6.1013545067645e-24,"CROCCP2","prePB"
2.96097800642064e-25,-1.36663215422249,0.135,0.06,6.81409868617581e-21,"7SK","prePB"
3.70306161217122e-23,-1.4655522649198,0.113,0.049,8.52185568808963e-19,"PCBP1-AS1","prePB"
1.96577629400588e-21,-3.40412609186507,0.044,0.1,4.52384098539573e-17,"RP11-81H14.2","prePB"
1.91687851557665e-17,-1.2385646138713,0.122,0.061,4.41131252789654e-13,"CTD-2521M24.9","prePB"
3.14589678844456e-14,-2.88042906771451,0.113,0.16,7.23965227924747e-10,"AC074289.1","prePB"
1.37428609942129e-07,-1.57616115263183,0.822,0.584,0.00316264460059822,"NEAT1","prePB"
8.41316836714799e-07,-1.41288755198218,0.359,0.243,0.0193612243633177,"RP11-284N8.3","prePB"
3.74656915093272e-05,-2.59665309793341,0.13,0.147,0.862197958704146,"AC159540.1","prePB"
0.000368030913414498,-1.34481711939672,0.41,0.296,1,"AL928768.3","prePB"
0.00433316168902515,-1.93540943656336,0.383,0.271,1,"MIAT","prePB"
0.0432164937955614,-2.28460521600115,0.108,0.113,1,"CTA-445C9.15","prePB"
0.425537502008441,-1.99078112208738,0.174,0.147,1,"AC006129.2","prePB"
