"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.94779976406113,0.283299906776247,0.388,0.407,1,"GLRX"
0.201334476274675,0.282647511914045,0.378,0.362,1,"TRAM2"
0.890149906209515,0.2825911401586,0.366,0.392,1,"SQSTM1"
0.353986040599668,0.281929845087464,0.329,0.314,1,"PTPRC"
0.943604320786278,0.27995533697319,0.247,0.256,1,"DDX46"
6.18348161820077e-05,-0.279233032739189,0.552,0.649,1,"JTB"
0.849777364440778,0.278737147737656,0.357,0.37,1,"DAZAP2"
0.298044156369942,0.278228961682147,0.438,0.435,1,"XRCC5"
0.319336342060823,0.278190816621429,0.509,0.506,1,"NT5C3A"
0.660856509141562,0.27715532742903,0.292,0.291,1,"PAIP2"
0.119768286961186,0.276885333179721,0.526,0.509,1,"TMA7"
0.387443857375286,0.275260767821423,0.516,0.525,1,"ATP5J"
0.105853298460144,0.274776865853827,0.365,0.348,1,"RP11-332E4.1"
0.554284423508282,0.273552390407843,0.29,0.291,1,"RASSF5"
0.0155710274540087,0.27315217116499,0.746,0.741,1,"SEL1L3"
0.787965463832301,0.273011123682894,0.264,0.263,1,"KMT2A"
0.0974175373163291,-0.272972748783342,0.254,0.294,1,"BCAP31"
0.251751169920803,0.272921699067678,0.32,0.303,1,"ACO2"
0.035291387201544,0.272277598834951,0.341,0.3,1,"PRPF40A"
0.56418469655411,0.271512599968385,0.24,0.262,1,"MYL12B"
0.000640365021266375,-0.27140608099149,0.293,0.373,1,"SEP15"
0.000555820675992719,-0.271288385323648,0.267,0.346,1,"ANXA2"
0.0524892260551512,0.270782417890697,0.666,0.678,1,"HNRNPA2B1"
0.14922968499122,0.270528452071776,0.567,0.56,1,"HNRNPK"
0.637026315691956,0.270456320775805,0.34,0.369,1,"ATP5B"
0.940638209252035,0.270103003033323,0.243,0.256,1,"LAX1"
0.838227083977554,0.269508880143647,0.235,0.252,1,"TMEM70"
0.889410038271611,0.269459194728562,0.284,0.302,1,"HMGN3"
0.590754846804168,0.268892115459291,0.338,0.343,1,"GSTK1"
0.228212277750882,0.26874855957464,0.258,0.237,1,"THRAP3"
0.952767328917524,0.268742198680787,0.263,0.273,1,"MRPS31"
0.854751308189882,0.267707528060988,0.242,0.253,1,"OTUD5"
0.000628676750236291,0.266474664822419,0.852,0.838,1,"RPS5"
0.417840380823103,0.266353334498225,0.319,0.307,1,"PRKAR1A"
0.000239790711627109,0.265790235389908,0.948,0.948,1,"FTL"
0.000124130209947267,-0.265699358632574,0.312,0.405,1,"RTN3"
0.0101736336388335,0.26554600948058,0.765,0.776,1,"EEF1A1"
0.757146071588048,0.265250749541037,0.389,0.404,1,"NPC2"
0.977907623097248,0.265164177085884,0.251,0.257,1,"SMARCA5"
0.837327208771818,0.262757324682364,0.318,0.328,1,"RPS14P3"
0.325681048187747,0.261638871144991,0.32,0.306,1,"PSMD4"
0.0721979252610115,0.261541533794302,0.654,0.665,1,"MYL6"
0.0170230957347977,-0.261459179033487,0.222,0.275,1,"SLC35B1"
0.419284734213471,0.260841431184852,0.257,0.248,1,"SNRPC"
0.114747070841344,0.260633535720834,0.675,0.673,1,"CTD-2031P19.4"
0.165589013393115,0.259663772682131,0.514,0.516,1,"UBE2L6"
0.752165778802522,0.259212095433237,0.388,0.403,1,"ERP44"
0.333264515084255,0.258682514890277,0.596,0.609,1,"SON"
0.0380868181646997,0.257862604929166,0.592,0.568,1,"SEC14L1"
0.768787835628655,0.257731308295434,0.257,0.259,1,"TNFAIP8"
0.401327972976448,0.257176421862729,0.336,0.375,1,"TAX1BP1"
0.516094560898471,0.257171819358837,0.273,0.269,1,"DDX21"
0.00147834419798376,-0.256993746870481,0.352,0.436,1,"CXXC5"
0.01556541725382,0.256774116036834,0.262,0.211,1,"TLE3"
0.576173312528047,0.256621973242114,0.452,0.464,1,"STK4"
0.00146789037967912,-0.256175771138629,0.421,0.496,1,"COX6B1"
0.130049833698046,0.255840902993713,0.453,0.439,1,"NSA2"
0.0116104706719176,-0.255634154357869,0.22,0.273,1,"ELF1"
0.599039610813093,0.255432468475717,0.319,0.326,1,"CBX3"
0.729619672095873,0.255128901032871,0.325,0.33,1,"MPHOSPH8"
0.929462618574982,0.254928031334151,0.273,0.28,1,"ANP32A"
0.334261726641701,0.25466349174832,0.56,0.577,1,"POU2F2"
0.788843951963581,0.254148970958521,0.261,0.263,1,"OCIAD1"
0.542054433437717,0.252995986019634,0.294,0.294,1,"PRKCSH"
0.30380453660007,0.252424937374587,0.38,0.367,1,"ORAI2"
0.103823752513362,0.252357648874239,0.373,0.345,1,"RP11-159C21.4"
0.485839610027015,0.251819550256218,0.272,0.3,1,"APOL1"
0.00485867258736544,-0.250829642335216,0.21,0.268,1,"TBCA"
0.681073452731541,0.250516362227141,0.328,0.351,1,"ENTPD1"
0.882208181891943,0.250510657897596,0.311,0.328,1,"MRPL52"
